,User-ID,ISBN,Book-Rating,Number of book ratings
320,97874,0316666343,9,1295
321,98391,0316666343,9,1295
323,98904,0316666343,10,1295
327,105517,0316666343,9,1295
328,105979,0316666343,8,1295
329,106225,0316666343,8,1295
332,108405,0316666343,9,1295
335,112001,0316666343,9,1295
336,112026,0316666343,8,1295
337,112083,0316666343,8,1295
339,113270,0316666343,9,1295
340,113519,0316666343,9,1295
341,114368,0316666343,5,1295
342,114444,0316666343,10,1295
343,114446,0316666343,9,1295
346,115003,0316666343,8,1295
356,126296,0316666343,9,1295
365,130571,0316666343,8,1295
366,130847,0316666343,6,1295
370,133689,0316666343,6,1295
371,134797,0316666343,10,1295
380,138578,0316666343,10,1295
381,139387,0316666343,9,1295
382,139913,0316666343,8,1295
383,140000,0316666343,10,1295
384,141444,0316666343,5,1295
387,141902,0316666343,10,1295
389,143175,0316666343,10,1295
390,143253,0316666343,9,1295
393,144531,0316666343,9,1295
394,144555,0316666343,10,1295
398,146175,0316666343,10,1295
400,147141,0316666343,6,1295
402,148744,0316666343,8,1295
403,148898,0316666343,10,1295
406,152186,0316666343,9,1295
407,152946,0316666343,9,1295
409,154070,0316666343,8,1295
413,157273,0316666343,8,1295
414,157799,0316666343,9,1295
416,158295,0316666343,7,1295
419,160681,0316666343,9,1295
422,162311,0316666343,9,1295
423,163804,0316666343,9,1295
424,164323,0316666343,9,1295
427,167471,0316666343,5,1295
432,170415,0316666343,7,1295
436,171968,0316666343,7,1295
439,172512,0316666343,9,1295
440,173415,0316666343,7,1295
442,174092,0316666343,9,1295
443,174304,0316666343,8,1295
450,179826,0316666343,6,1295
452,180348,0316666343,10,1295
453,180651,0316666343,7,1295
459,186570,0316666343,7,1295
460,187256,0316666343,9,1295
464,190459,0316666343,9,1295
465,192093,0316666343,9,1295
466,193499,0316666343,9,1295
468,194600,0316666343,8,1295
471,196077,0316666343,8,1295
472,196466,0316666343,8,1295
474,198046,0316666343,8,1295
481,203017,0316666343,9,1295
482,204864,0316666343,9,1295
491,210485,0316666343,8,1295
492,210959,0316666343,5,1295
497,216683,0316666343,9,1295
500,218121,0316666343,3,1295
501,218568,0316666343,8,1295
502,220240,0316666343,9,1295
506,221445,0316666343,9,1295
507,222296,0316666343,8,1295
509,223501,0316666343,9,1295
512,224430,0316666343,8,1295
513,224764,0316666343,7,1295
516,225595,0316666343,5,1295
517,225810,0316666343,7,1295
522,227447,0316666343,10,1295
524,229329,0316666343,8,1295
525,229551,0316666343,8,1295
527,231237,0316666343,8,1295
532,234828,0316666343,7,1295
533,235105,0316666343,8,1295
534,235282,0316666343,6,1295
537,236058,0316666343,9,1295
540,238120,0316666343,7,1295
543,239584,0316666343,10,1295
546,243745,0316666343,8,1295
547,244277,0316666343,7,1295
548,244736,0316666343,8,1295
550,246311,0316666343,9,1295
551,246507,0316666343,8,1295
552,247055,0316666343,9,1295
555,248477,0316666343,9,1295
557,251140,0316666343,7,1295
560,252071,0316666343,9,1295
562,253821,0316666343,8,1295
564,254465,0316666343,10,1295
568,259035,0316666343,9,1295
569,259118,0316666343,7,1295
570,259378,0316666343,7,1295
572,260897,0316666343,9,1295
573,261829,0316666343,9,1295
577,263344,0316666343,9,1295
579,264031,0316666343,10,1295
581,264525,0316666343,9,1295
587,266283,0316666343,9,1295
588,266865,0316666343,8,1295
591,268032,0316666343,8,1295
592,268110,0316666343,7,1295
593,268300,0316666343,10,1295
599,271448,0316666343,10,1295
601,272715,0316666343,8,1295
602,273718,0316666343,8,1295
604,276680,0316666343,7,1295
612,80538,0345391810,10,59
613,81560,0345391810,8,59
615,95359,0345391810,9,59
616,114414,0345391810,8,59
618,136382,0345391810,8,59
623,177432,0345391810,7,59
626,201042,0345391810,7,59
631,246000,0345391810,8,59
634,276925,0385504209,8,883
635,277427,0385504209,8,883
636,882,0385504209,10,883
640,7915,0385504209,10,883
644,10560,0385504209,10,883
645,11676,0385504209,9,883
646,13273,0385504209,9,883
647,13552,0385504209,10,883
649,14521,0385504209,10,883
652,16795,0385504209,10,883
664,27647,0385504209,3,883
668,30276,0385504209,8,883
671,31826,0385504209,10,883
674,36256,0385504209,9,883
677,37712,0385504209,6,883
680,39281,0385504209,10,883
681,39345,0385504209,9,883
683,39646,0385504209,9,883
690,48046,0385504209,10,883
692,49422,0385504209,9,883
694,50895,0385504209,10,883
696,52002,0385504209,10,883
698,53174,0385504209,10,883
700,53729,0385504209,9,883
702,55927,0385504209,10,883
703,56360,0385504209,9,883
713,67840,0385504209,10,883
714,68185,0385504209,7,883
715,68555,0385504209,10,883
719,70594,0385504209,9,883
720,73681,0385504209,7,883
722,75819,0385504209,10,883
728,77181,0385504209,7,883
734,81368,0385504209,8,883
736,81977,0385504209,9,883
737,82893,0385504209,10,883
741,86189,0385504209,3,883
742,86202,0385504209,7,883
743,88693,0385504209,8,883
747,89551,0385504209,10,883
748,89602,0385504209,8,883
750,92810,0385504209,9,883
752,93629,0385504209,9,883
754,95193,0385504209,10,883
757,97874,0385504209,1,883
758,98391,0385504209,10,883
762,100088,0385504209,10,883
764,100644,0385504209,9,883
765,100846,0385504209,8,883
767,101305,0385504209,6,883
770,105979,0385504209,5,883
772,107784,0385504209,10,883
774,111578,0385504209,10,883
779,113817,0385504209,7,883
780,114868,0385504209,8,883
782,115003,0385504209,9,883
784,120908,0385504209,10,883
786,123430,0385504209,9,883
790,128085,0385504209,10,883
794,131046,0385504209,9,883
795,132083,0385504209,5,883
803,138010,0385504209,7,883
806,142524,0385504209,10,883
812,146803,0385504209,5,883
814,147803,0385504209,8,883
816,149084,0385504209,10,883
818,154345,0385504209,8,883
820,157273,0385504209,9,883
821,158226,0385504209,9,883
822,159033,0385504209,10,883
825,162738,0385504209,8,883
832,169663,0385504209,8,883
834,170513,0385504209,10,883
839,174304,0385504209,9,883
845,177690,0385504209,10,883
846,178199,0385504209,8,883
848,179772,0385504209,10,883
849,180348,0385504209,9,883
852,181077,0385504209,8,883
855,187256,0385504209,9,883
859,194669,0385504209,9,883
863,202173,0385504209,10,883
865,204813,0385504209,10,883
868,207246,0385504209,9,883
870,209373,0385504209,10,883
872,210485,0385504209,8,883
877,214786,0385504209,10,883
878,215006,0385504209,9,883
879,216466,0385504209,10,883
880,217121,0385504209,8,883
882,218068,0385504209,8,883
883,218552,0385504209,8,883
885,218608,0385504209,10,883
889,220688,0385504209,10,883
891,223501,0385504209,7,883
892,223566,0385504209,9,883
893,223787,0385504209,9,883
894,224340,0385504209,8,883
898,225595,0385504209,10,883
903,227705,0385504209,10,883
905,229313,0385504209,8,883
906,229551,0385504209,10,883
907,229741,0385504209,6,883
908,230522,0385504209,9,883
910,231857,0385504209,8,883
911,232131,0385504209,10,883
912,235105,0385504209,6,883
914,236172,0385504209,10,883
915,237748,0385504209,7,883
919,240567,0385504209,10,883
922,242083,0385504209,8,883
925,242646,0385504209,10,883
927,244171,0385504209,9,883
929,246507,0385504209,8,883
931,248221,0385504209,8,883
932,250962,0385504209,7,883
933,251422,0385504209,10,883
934,251843,0385504209,7,883
937,254377,0385504209,9,883
943,263325,0385504209,8,883
950,268030,0385504209,8,883
951,268622,0385504209,7,883
952,268657,0385504209,9,883
956,272225,0385504209,9,883
957,274308,0385504209,9,883
958,276680,0385504209,8,883
962,55492,0439284031,8,14
971,189973,0439286239,5,5
973,104665,0449221148,8,14
974,106225,0449221148,8,14
985,44925,0451527747,8,30
987,56856,0451527747,9,30
991,100906,0451527747,10,30
993,134434,0451527747,8,30
996,224646,0451527747,9,30
997,229313,0451527747,10,30
1001,52350,0486282112,8,37
1006,163570,0486282112,9,37
1008,181176,0486282112,8,37
1009,187410,0486282112,5,37
1013,275970,0486282112,9,37
1015,16795,0486424499,8,23
1016,23902,0486424499,8,23
1021,177432,0486424499,10,23
1022,179730,0486424499,10,23
1024,209160,0486424499,8,23
1027,217740,0486424499,7,23
1028,239594,0486424499,9,23
1031,276925,0553275283,8,6
1032,23872,0553275283,10,6
1033,98686,0553275283,7,6
1034,251140,0553275283,10,6
1037,23872,0613329740,10,21
1038,32721,0613329740,9,21
1043,136252,0613329740,9,21
1044,171118,0613329740,6,21
1046,201290,0613329740,5,21
1047,229741,0613329740,6,21
1048,249958,0613329740,10,21
1049,259057,0613329740,6,21
1050,263163,0613329740,6,21
1052,276925,063403541X,6,8
1053,53614,063403541X,10,8
1054,259057,063403541X,5,8
1056,32122,067172939X,8,23
1059,104399,067172939X,10,23
1064,174304,067172939X,8,23
1069,241980,067172939X,10,23
1071,11676,0671729438,7,25
1072,32122,0671729438,8,25
1075,59172,0671729438,9,25
1078,94985,0671729438,7,25
1079,104636,0671729438,10,25
1086,241980,0671729438,10,25
1089,23902,0679745580,10,55
1094,76499,0679745580,10,55
1097,101305,0679745580,8,55
1106,178199,0679745580,8,55
1107,180651,0679745580,8,55
1109,206534,0679745580,7,55
1113,228021,0679745580,10,55
1118,278137,0804106304,8,519
1120,1424,0804106304,6,519
1121,2891,0804106304,7,519
1126,6575,0804106304,9,519
1127,7346,0804106304,9,519
1132,13995,0804106304,7,519
1143,28204,0804106304,9,519
1144,30276,0804106304,6,519
1145,30533,0804106304,8,519
1146,30806,0804106304,8,519
1149,31919,0804106304,9,519
1153,35859,0804106304,8,519
1156,36907,0804106304,8,519
1164,40553,0804106304,9,519
1167,45557,0804106304,9,519
1171,52584,0804106304,7,519
1172,52917,0804106304,7,519
1178,60244,0804106304,8,519
1179,60707,0804106304,7,519
1182,66942,0804106304,10,519
1183,69971,0804106304,8,519
1184,70052,0804106304,6,519
1186,73681,0804106304,7,519
1188,76818,0804106304,10,519
1191,80683,0804106304,10,519
1195,86145,0804106304,6,519
1205,98356,0804106304,7,519
1207,101851,0804106304,10,519
1219,112881,0804106304,7,519
1220,113519,0804106304,9,519
1222,122793,0804106304,9,519
1223,123056,0804106304,8,519
1237,135149,0804106304,7,519
1239,137589,0804106304,8,519
1240,138198,0804106304,7,519
1245,143415,0804106304,10,519
1247,144555,0804106304,9,519
1253,153662,0804106304,9,519
1256,157273,0804106304,8,519
1259,158254,0804106304,7,519
1263,166596,0804106304,9,519
1266,171118,0804106304,7,519
1286,192093,0804106304,9,519
1291,198930,0804106304,9,519
1292,200226,0804106304,5,519
1295,201641,0804106304,5,519
1305,218568,0804106304,9,519
1312,224138,0804106304,9,519
1316,229313,0804106304,9,519
1321,232131,0804106304,8,519
1326,238065,0804106304,8,519
1331,239594,0804106304,7,519
1332,240567,0804106304,8,519
1339,245371,0804106304,9,519
1354,264152,0804106304,8,519
1357,266226,0804106304,9,519
1359,267033,0804106304,8,519
1362,269566,0804106304,8,519
1364,270713,0804106304,8,519
1371,1435,0971880107,5,2502
1372,1733,0971880107,1,2502
1374,2766,0971880107,6,2502
1379,7105,0971880107,6,2502
1387,11676,0971880107,6,2502
1389,11993,0971880107,2,2502
1406,21031,0971880107,5,2502
1409,21404,0971880107,3,2502
1429,28591,0971880107,6,2502
1430,28938,0971880107,6,2502
1439,30972,0971880107,1,2502
1442,31826,0971880107,1,2502
1448,33888,0971880107,7,2502
1456,37293,0971880107,3,2502
1457,37538,0971880107,7,2502
1460,37950,0971880107,3,2502
1461,38023,0971880107,9,2502
1473,41757,0971880107,5,2502
1485,46398,0971880107,4,2502
1498,55187,0971880107,6,2502
1505,56399,0971880107,5,2502
1516,61028,0971880107,7,2502
1521,65258,0971880107,6,2502
1526,69378,0971880107,5,2502
1531,70222,0971880107,5,2502
1546,77480,0971880107,2,2502
1554,80555,0971880107,6,2502
1564,82831,0971880107,7,2502
1570,86243,0971880107,6,2502
1576,88693,0971880107,4,2502
1578,89867,0971880107,3,2502
1582,92405,0971880107,6,2502
1586,93047,0971880107,6,2502
1588,94853,0971880107,6,2502
1602,102275,0971880107,4,2502
1635,114988,0971880107,1,2502
1651,124078,0971880107,9,2502
1652,124079,0971880107,6,2502
1657,126693,0971880107,1,2502
1664,129851,0971880107,1,2502
1668,131594,0971880107,9,2502
1671,132375,0971880107,5,2502
1672,132492,0971880107,1,2502
1678,136139,0971880107,2,2502
1687,138844,0971880107,6,2502
1694,141819,0971880107,7,2502
1710,147965,0971880107,4,2502
1711,148712,0971880107,2,2502
1716,153621,0971880107,6,2502
1726,160681,0971880107,6,2502
1730,162311,0971880107,5,2502
1738,167800,0971880107,3,2502
1740,168047,0971880107,1,2502
1752,172760,0971880107,1,2502
1770,179791,0971880107,2,2502
1782,184424,0971880107,7,2502
1788,187145,0971880107,6,2502
1789,187256,0971880107,7,2502
1795,190885,0971880107,5,2502
1805,197550,0971880107,5,2502
1815,201969,0971880107,5,2502
1845,213316,0971880107,2,2502
1855,220688,0971880107,3,2502
1859,223566,0971880107,3,2502
1862,224525,0971880107,10,2502
1865,224809,0971880107,3,2502
1876,229329,0971880107,2,2502
1891,236955,0971880107,3,2502
1908,243876,0971880107,1,2502
1912,245312,0971880107,3,2502
1920,249862,0971880107,1,2502
1925,251422,0971880107,1,2502
1942,257028,0971880107,3,2502
1945,258938,0971880107,1,2502
1949,259118,0971880107,3,2502
1953,260897,0971880107,2,2502
1978,271448,0971880107,2,2502
1979,271622,0971880107,5,2502
1986,217740,1400001625,5,5
1991,11676,2290309494,10,11
1995,134434,2290309494,6,11
1998,14079,2742739351,9,17
2006,11676,8401462231,8,9
2007,80908,8401462231,8,9
2008,116122,8401462231,10,9
2009,174304,8401462231,7,9
2013,95902,8408011200,7,13
2014,214920,8408011200,8,13
2015,276925,8420432113,5,6
2016,38281,8420432113,7,6
2018,179624,8420432113,8,6
2019,276925,8422655500,9,7
2023,276925,8422657104,9,5
2024,11676,8422657104,8,5
2026,58067,8422693445,8,9
2030,206932,8423325105,5,11
2032,38281,8423662152,9,16
2033,39467,8423662152,8,16
2036,206932,8423662152,8,16
2041,14958,8423951537,7,6
2043,276925,8423976645,8,5
2049,14958,8440627203,9,10
2050,39467,8440627203,8,10
2051,206932,8440627203,7,10
2053,11676,8440696833,7,6
2054,134434,8440696833,7,6
2058,12982,8495501090,9,21
2059,58067,8495501090,9,21
2061,134434,8495501090,5,21
2064,38281,8495501198,7,28
2067,214920,8495501198,10,28
2072,276925,950491036X,10,23
2074,38281,950491036X,9,23
2075,39467,950491036X,10,23
2076,81207,950491036X,8,23
2077,131126,950491036X,10,23
2079,164533,950491036X,9,23
2091,100906,0026217457,8,10
2093,142524,0026217457,6,10
2095,37208,0060002050,7,28
2098,98391,0060002050,8,28
2099,114368,0060002050,5,28
2100,121606,0060002050,6,28
2102,134797,0060002050,8,28
2105,182086,0060002050,10,28
2108,242006,0060002050,10,28
2109,244685,0060002050,8,28
2110,265889,0060002050,8,28
2111,277427,0060006641,10,6
2113,171118,0060006641,8,6
2115,205943,0060006641,8,6
2120,88733,0060177721,10,11
2125,16795,0060192704,8,25
2127,69389,0060192704,7,25
2128,70666,0060192704,5,25
2129,89014,0060192704,9,25
2130,92652,0060192704,7,25
2134,138578,0060192704,10,25
2135,138844,0060192704,8,25
2137,181076,0060192704,7,25
2138,229551,0060192704,10,25
2139,277427,0060542128,7,41
2140,11676,0060542128,8,41
2141,17282,0060542128,6,41
2143,30276,0060542128,7,41
2151,98391,0060542128,8,41
2152,114368,0060542128,5,41
2158,182085,0060542128,10,41
2159,190925,0060542128,7,41
2163,234359,0060542128,8,41
2166,247447,0060542128,10,41
2167,247752,0060542128,9,41
2175,19664,0060913509,6,32
2190,236757,0060913509,5,32
2193,259118,0060913509,7,32
2196,11676,006092988X,9,88
2201,37644,006092988X,10,88
2204,85526,006092988X,10,88
2208,117251,006092988X,10,88
2211,136348,006092988X,9,88
2212,140879,006092988X,9,88
2213,143415,006092988X,10,88
2214,156150,006092988X,10,88
2224,233911,006092988X,10,88
2228,251844,006092988X,9,88
2234,266226,006092988X,10,88
2237,1424,0060930535,7,494
2241,7125,0060930535,8,494
2243,8253,0060930535,10,494
2245,13273,0060930535,9,494
2248,16795,0060930535,4,494
2254,22625,0060930535,9,494
2255,24433,0060930535,9,494
2257,30533,0060930535,8,494
2270,43619,0060930535,9,494
2278,52002,0060930535,10,494
2285,62862,0060930535,10,494
2294,77809,0060930535,8,494
2300,85526,0060930535,8,494
2303,91203,0060930535,9,494
2310,104058,0060930535,6,494
2313,105979,0060930535,9,494
2314,107784,0060930535,9,494
2321,112001,0060930535,10,494
2323,113270,0060930535,8,494
2326,113904,0060930535,8,494
2328,114544,0060930535,5,494
2335,126693,0060930535,10,494
2343,135149,0060930535,6,494
2347,136382,0060930535,3,494
2348,137589,0060930535,9,494
2349,138543,0060930535,9,494
2350,138844,0060930535,9,494
2352,141491,0060930535,5,494
2353,141493,0060930535,6,494
2355,142121,0060930535,9,494
2358,145641,0060930535,10,494
2363,158254,0060930535,9,494
2365,160558,0060930535,5,494
2366,164027,0060930535,5,494
2368,174326,0060930535,8,494
2374,184401,0060930535,9,494
2381,204864,0060930535,9,494
2391,231237,0060930535,7,494
2393,234828,0060930535,3,494
2397,236757,0060930535,8,494
2401,239594,0060930535,8,494
2414,271195,0060930535,5,494
2418,12982,0060932139,7,52
2421,52350,0060932139,7,52
2426,126604,0060932139,7,52
2427,158226,0060932139,9,52
2429,201290,0060932139,8,52
2436,6242,0060934417,7,350
2437,6575,0060934417,9,350
2446,23768,0060934417,8,350
2450,35859,0060934417,9,350
2452,37712,0060934417,10,350
2455,41781,0060934417,10,350
2458,43842,0060934417,5,350
2461,51526,0060934417,5,350
2467,64436,0060934417,7,350
2469,76352,0060934417,6,350
2471,77181,0060934417,8,350
2479,89602,0060934417,7,350
2480,91832,0060934417,10,350
2482,95359,0060934417,9,350
2483,98787,0060934417,9,350
2484,101305,0060934417,8,350
2490,113270,0060934417,10,350
2495,120908,0060934417,9,350
2504,130571,0060934417,9,350
2507,132375,0060934417,8,350
2510,135458,0060934417,9,350
2514,140000,0060934417,9,350
2519,148744,0060934417,8,350
2520,149084,0060934417,8,350
2522,150979,0060934417,9,350
2523,151589,0060934417,10,350
2524,152946,0060934417,9,350
2526,154345,0060934417,8,350
2527,155147,0060934417,7,350
2531,168144,0060934417,10,350
2535,173415,0060934417,10,350
2538,175052,0060934417,8,350
2540,180651,0060934417,8,350
2541,181687,0060934417,7,350
2544,190741,0060934417,10,350
2548,206534,0060934417,9,350
2550,211430,0060934417,9,350
2551,212923,0060934417,10,350
2555,223087,0060934417,5,350
2557,224764,0060934417,5,350
2561,231237,0060934417,10,350
2562,232131,0060934417,9,350
2564,236757,0060934417,9,350
2570,252695,0060934417,7,350
2571,255489,0060934417,9,350
2575,264657,0060934417,6,350
2576,267033,0060934417,8,350
2578,273086,0060934417,6,350
2579,273979,0060934417,9,350
2580,274004,0060934417,8,350
2581,277427,0061009059,9,291
2583,6251,0061009059,7,291
2584,6543,0061009059,8,291
2587,7915,0061009059,8,291
2588,8067,0061009059,10,291
2591,11676,0061009059,8,291
2595,16795,0061009059,9,291
2596,23768,0061009059,8,291
2599,30276,0061009059,7,291
2601,35859,0061009059,10,291
2604,42093,0061009059,9,291
2606,46443,0061009059,8,291
2607,59390,0061009059,8,291
2610,64436,0061009059,7,291
2615,82164,0061009059,5,291
2619,88793,0061009059,9,291
2621,95359,0061009059,8,291
2625,104636,0061009059,9,291
2626,104665,0061009059,6,291
2630,115003,0061009059,7,291
2638,130571,0061009059,8,291
2639,131402,0061009059,9,291
2640,133571,0061009059,7,291
2642,135149,0061009059,7,291
2643,136010,0061009059,8,291
2647,145165,0061009059,8,291
2648,145641,0061009059,10,291
2649,146113,0061009059,7,291
2651,153662,0061009059,9,291
2656,162155,0061009059,4,291
2658,165308,0061009059,10,291
2659,167471,0061009059,9,291
2664,176875,0061009059,7,291
2667,177458,0061009059,8,291
2670,184279,0061009059,5,291
2671,187065,0061009059,6,291
2677,202277,0061009059,6,291
2686,218568,0061009059,9,291
2696,236757,0061009059,5,291
2698,239584,0061009059,5,291
2700,242299,0061009059,8,291
2702,243077,0061009059,8,291
2703,243930,0061009059,8,291
2704,245410,0061009059,7,291
2705,250184,0061009059,8,291
2709,259260,0061009059,9,291
2714,266807,0061009059,5,291
2723,72214,0061030430,5,62
2734,181076,0061030430,7,62
2745,8245,0062505319,8,32
2749,60244,0062505319,6,32
2752,83637,0062505319,8,32
2756,130571,0062505319,7,32
2758,142524,0062505319,10,32
2759,144531,0062505319,8,32
2760,171818,0062505319,8,32
2761,187256,0062505319,8,32
2763,224430,0062505319,7,32
2766,243700,0062505319,9,32
2768,31315,0062735098,9,5
2771,10354,0064400859,8,31
2775,56959,0064400859,10,31
2776,76499,0064400859,10,31
2781,160401,0064400859,5,31
2787,240403,0064400859,10,31
2792,11676,006440188X,10,50
2793,16795,006440188X,8,50
2794,21014,006440188X,9,50
2796,49212,006440188X,10,50
2797,76499,006440188X,10,50
2798,76626,006440188X,10,50
2799,78553,006440188X,10,50
2803,114868,006440188X,9,50
2806,153662,006440188X,10,50
2807,174304,006440188X,9,50
2809,182442,006440188X,9,50
2811,226965,006440188X,10,50
2814,239584,006440188X,10,50
2819,254465,006440188X,10,50
2836,6251,0140067477,10,189
2838,11676,0140067477,8,189
2841,21031,0140067477,8,189
2842,32773,0140067477,8,189
2844,37950,0140067477,6,189
2849,51526,0140067477,6,189
2850,55187,0140067477,5,189
2852,55548,0140067477,10,189
2853,56399,0140067477,10,189
2854,56447,0140067477,8,189
2858,63956,0140067477,8,189
2859,69355,0140067477,5,189
2865,88693,0140067477,8,189
2870,101731,0140067477,8,189
2871,101851,0140067477,10,189
2872,101876,0140067477,8,189
2880,139387,0140067477,10,189
2881,147224,0140067477,7,189
2882,150979,0140067477,8,189
2883,164027,0140067477,10,189
2884,168064,0140067477,7,189
2887,172760,0140067477,8,189
2888,179772,0140067477,10,189
2889,179978,0140067477,10,189
2890,182442,0140067477,2,189
2893,189835,0140067477,5,189
2900,211426,0140067477,9,189
2901,217106,0140067477,5,189
2902,219683,0140067477,10,189
2903,220688,0140067477,10,189
2905,226965,0140067477,10,189
2908,231393,0140067477,9,189
2909,234597,0140067477,10,189
2916,249894,0140067477,8,189
2917,251422,0140067477,7,189
2930,11676,0140086838,5,49
2935,37712,0140086838,10,49
2940,101305,0140086838,7,49
2941,115435,0140086838,8,49
2943,136139,0140086838,7,49
2945,160558,0140086838,8,49
2954,264152,0140086838,10,49
2957,76499,0140185151,10,8
2958,161936,0140185151,9,8
2962,3827,014029628X,6,191
2963,6575,014029628X,7,191
2964,7346,014029628X,8,191
2966,11676,014029628X,7,191
2969,21014,014029628X,8,191
2971,36606,014029628X,8,191
2972,37712,014029628X,9,191
2975,46443,014029628X,8,191
2978,57108,014029628X,7,191
2979,60244,014029628X,8,191
2980,61427,014029628X,9,191
2982,65663,014029628X,8,191
2985,76499,014029628X,10,191
2987,80538,014029628X,8,191
2989,88793,014029628X,5,191
2995,102967,014029628X,8,191
2997,106225,014029628X,9,191
2998,108155,014029628X,8,191
3000,110912,014029628X,9,191
3006,121170,014029628X,8,191
3008,128696,014029628X,9,191
3010,136348,014029628X,8,191
3011,138543,014029628X,8,191
3014,144531,014029628X,8,191
3023,165308,014029628X,8,191
3026,181687,014029628X,9,191
3028,187256,014029628X,9,191
3031,203240,014029628X,7,191
3036,211426,014029628X,7,191
3037,212923,014029628X,8,191
3040,221445,014029628X,9,191
3046,229011,014029628X,6,191
3051,239584,014029628X,9,191
3053,251844,014029628X,8,191
3056,264657,014029628X,7,191
3058,265115,014029628X,9,191
3059,266056,014029628X,8,191
3061,268622,014029628X,10,191
3062,270713,014029628X,7,191
3063,271705,014029628X,8,191
3065,275970,014029628X,9,191
3067,9856,0140621792,4,13
3068,23902,0140621792,9,13
3070,124363,0140621792,9,13
3079,8066,014100018X,8,139
3080,11676,014100018X,10,139
3084,30972,014100018X,7,139
3086,37644,014100018X,8,139
3088,43246,014100018X,10,139
3090,43842,014100018X,10,139
3093,51742,014100018X,9,139
3095,63938,014100018X,8,139
3106,114868,014100018X,9,139
3107,121251,014100018X,9,139
3109,129503,014100018X,8,139
3110,133747,014100018X,8,139
3112,136139,014100018X,8,139
3113,141444,014100018X,5,139
3114,143792,014100018X,6,139
3119,155219,014100018X,9,139
3127,177072,014100018X,9,139
3128,188010,014100018X,8,139
3129,190741,014100018X,9,139
3131,196077,014100018X,9,139
3135,220240,014100018X,6,139
3137,227705,014100018X,9,139
3145,244420,014100018X,5,139
3152,267033,014100018X,8,139
3153,268032,014100018X,8,139
3155,277427,0141439742,8,10
3160,161041,0141439742,8,10
3163,254,0142001740,9,615
3164,507,0142001740,10,615
3166,2891,0142001740,7,615
3169,6543,0142001740,9,615
3170,6575,0142001740,8,615
3171,7105,0142001740,7,615
3172,8066,0142001740,10,615
3174,8454,0142001740,9,615
